minute_id,reference_type_a,document_type_a,text_a,sentence_a,identifier_a,reference_type_b,document_type_b,text_b,sentence_b,identifier_b
h-tk-20012002-4369-4373,impl-ext-dossier,,Wijziging van de Opiumwet,- Wijziging van de Opiumwet.,36159,impl-ext-parl-doc,Voorstel van wet,Wijziging van de Opiumwet,- Wijziging van de Opiumwet.,27874-2-h1
h-tk-20012002-4369-4373,explicit-parl-doc,Motie,"24691, nr. 35","- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);",24691-35,explicit-parl-doc,Motie,"(24691, nr. 35)","- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);",24691-35
h-tk-20012002-4369-4373,explicit-parl-doc,Motie,"24691, nr. 35","- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);",24691-35,explicit-parl-doc,Motie,"(24691, nr. 36)","- de motie-Klein Molekamp c.s. over alternatieven van Albrandswaard (24691, nr. 36);",24691-36
h-tk-20012002-4369-4373,explicit-parl-doc,Motie,"24691, nr. 35","- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);",24691-35,explicit-parl-doc,Motie,"(24691, nr. 44)","- de gewijzigde motie-Buijs c.s. over een schaderegeling voor de visserijsector (24691, nr. 44);",24691-44
h-tk-20012002-4369-4373,explicit-parl-doc,Motie,"24691, nr. 35","- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);",24691-35,explicit-parl-doc,Motie,"(24691, nr. 39)","- de motie-Ravestein c.s. over ontsluiting voor de binnenvaart (24691, nr. 39);",24691-39
h-tk-20012002-4369-4373,explicit-parl-doc,Motie,"24691, nr. 35","- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);",24691-35,explicit-parl-doc,Motie,"(24691, nr. 40)","- de motie-Van der Steenhoven/Van Bommel over 750 ha extra natuur (24691, nr. 40);",24691-40
h-tk-20012002-4369-4373,explicit-parl-doc,Motie,"24691, nr. 35","- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);",24691-35,explicit-parl-doc,Motie,"(24691, nr. 41)","- de motie-Van der Steenhoven over gevolgen voor de Noordzeekust en de Waddenzee (24691, nr. 41);",24691-41
h-tk-20012002-4369-4373,explicit-parl-doc,Motie,"24691, nr. 40","- de motie-Van der Steenhoven/Van Bommel over 750 ha extra natuur (24691, nr. 40);",24691-40,explicit-parl-doc,Motie,"(24691, nr. 42)","- de motie-Van Bommel/Van der Steenhoven over samenwerking tussen Antwerpen en Rotterdam (24691, nr. 42);",24691-42
h-tk-20012002-4369-4373,explicit-parl-doc,Motie,"24691, nr. 35","- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);",24691-35,explicit-parl-doc,Motie,"(24691, nr. 43)","- de motie-Klein Molekamp c.s. over de omvang van het zeereservaat (24691, nr. 43).",24691-43
h-tk-20012002-4369-4373,impl-ext-dossier,,Het wetsvoorstel exploitatie zorginstellingen,"Voorzitter. Het wetsvoorstel exploitatie zorginstellingen is aangemeld voor plenaire behandeling, maar wij zijn nog niet in het bezit van de tweede tranche van de vervolguitvoeringstoets van het College bouw ziekenhuisvoorzieningen inzake de spreiding van de ziekenhuiszorg. Mede namens de fracties van VVD en CDA vraagt de fractie van GroenLinks of de regering deze toets zo snel mogelijk aan de Kamer wil doen toekomen. Wij vinden het voor de meningsvorming belangrijk daarover te beschikken vóór het wetsvoorstel wordt besproken.",27659,impl-ext-dossier,,Het wetsvoorstel exploitatie zorginstellingen,"Voorzitter. Het wetsvoorstel exploitatie zorginstellingen is aangemeld voor plenaire behandeling, maar wij zijn nog niet in het bezit van de tweede tranche van de vervolguitvoeringstoets van het College bouw ziekenhuisvoorzieningen inzake de spreiding van de ziekenhuiszorg. Mede namens de fracties van VVD en CDA vraagt de fractie van GroenLinks of de regering deze toets zo snel mogelijk aan de Kamer wil doen toekomen. Wij vinden het voor de meningsvorming belangrijk daarover te beschikken vóór het wetsvoorstel wordt besproken.",27659
