identifier,title,date,type,publication_type,url,preferred_url,dossier_number,dossier_title
kst-27469-13,Uitvoering Richtlijn 98/50/EG betreffende behoud rechten werknemers bij overgang (onderdelen van) ondernemingen; Nota van wijziging,2001-05-16,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27469/kst-27469-13/1/pdf/kst-27469-13.pdf,,27469,"Uitvoering van de Richtlijn 98/50/EG van de Raad van de Europese Unie van 29 juni 1998 tot wijziging van de Richtlijn 77/187/EEG inzake de onderlinge aanpassing van de wetgevingen der lidstaten betreffende het behoud van de rechten van de werknemers bij overgang van ondernemingen, vestigingen of onderdelen van ondernemingen of vestigingen"
kst-26670-4,Grensoverschrijdende projecten; Verslag algemeen overleg over grensoverschrijdende projecten en grensoverschrijdende bestuurlijke samenwerking,2000-12-11,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/26670/kst-26670-4/1/pdf/kst-26670-4.pdf,,26670,Grensoverschrijdende projecten
kst-27753-3,Wijziging van de begroting van het Ministerie van Verkeer en Waterstaat (XII) voor 2001 (wijz. i.v.m. de Voorjaarsnota); Nota van verbetering,2001-06-08,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27753/kst-27753-3/1/pdf/kst-27753-3.pdf,,27753,Wijziging van de begroting van de uitgaven en de ontvangsten van het Ministerie van Verkeer en Waterstaat (XII) voor het jaar 2001 (wijziging samenhangende met de Voorjaarsnota)
kst-19637-597,Vreemdelingenbeleid; Motie over het niet terugsturen van asielzoekers uit Noord-Irak,2001-07-05,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/19637/kst-19637-597/1/pdf/kst-19637-597.pdf,,19637,Vluchtelingenbeleid
kst-27571-4,Achtste wijziging van de Comptabiliteitswet houdende uitbreiding onderzoeksbevoegdheden Algemene Rekenkamer; Verslag,2001-03-15,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27571/kst-27571-4/1/pdf/kst-27571-4.pdf,,27571,Wijziging van de Comptabiliteitswet houdende uitbreiding van de onderzoeksbevoegdheden van de Algemene Rekenkamer ten aanzien van de besteding van gelden die ten laste komen van de begroting van de Europese Unie (achtste wijziging van de Comptabiliteitswet)
kst-20002001-00044-382,"Integrale beleidsvisie marktwerking, liberalisering, verzelfstandiging en privatisering; Brief minister",2001-05-21,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/20002001-00044/kst-20002001-00044-382/1/pdf/kst-20002001-00044-382.pdf,,00044,
kst-26043-16,"Wijziging van de Algemene pensioenwet politieke ambtsdragers (o.a. pensioenopbouw, waarde-overdracht en waarde-overname); Motie inzake voorstel pensioenstelsel op basis kapitaaldekking en fondsvorming voor alle politieke ambtsdragers",2000-09-28,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/26043/kst-26043-16/1/pdf/kst-26043-16.pdf,,26043,"Wijziging van de Algemene pensioenwet politieke ambtsdragers (pensioenopbouw, waarde-overdracht en waarde-overname alsmede enige andere onderwerpen)"
kst-25466-44,Geluidszones rond Schiphol; Brief minister over de aan de Luchthaven Schiphol opgelegde dwangsom,2000-11-01,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/25466/kst-25466-44/1/pdf/kst-25466-44.pdf,,25466,Geluidszones rond Schiphol
kst-26356-25,Reconstructiewet concentratiegebieden; Gewijzigd amendement om de rijksuitgangspunten aan te passen aan een nadere onderverdeling van de reconstructiegebieden,2000-12-13,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/26356/kst-26356-25/1/pdf/kst-26356-25.pdf,,26356,Regels inzake de reconstructie van de concentratiegebieden (Reconstructiewet concentratiegebieden)
kst-24036-206,"Marktwerking, deregulering en wetgevingskwaliteit; Gewijzigde motie om zo snel mogelijk over te gaan op flexibilisering en ontschotting om te kunnen voldoen aan de zorgvraag",2001-02-20,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/24036/kst-24036-206/1/pdf/kst-24036-206.pdf,,24036,"Marktwerking, deregulering en wetgevingskwaliteit"
kst-27700-64,"Financiële verantwoordingen over het jaar 2000; Lijst van vragen en antwoorden inzake rapport Rekenkamer over verantwoording Ministerie van VROM (XI) over het jaar 2000 (Kamerstuk 27700, nr. 26)",2001-06-06,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/27700/kst-27700-64/1/pdf/kst-27700-64.pdf,,27700,Financiële verantwoordingen over het jaar 2000
