identifier,type,title,date
kst-31226-27,Motie,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van het lid Luijben",2007-12-11
kst-31226-28,Motie,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van het lid Luijben",2007-12-11
kst-31226-29,Motie,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van de leden Omtzigt en Hamer",2007-12-11
kst-31226-30,Motie,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van het lid Omtzigt",2007-12-11
kst-31226-12,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Amendement van het lid Blok",2007-11-12
kst-31226-33,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Nader Gewijzgd Amendement van de leden Hamer en Omtzigt ter vervanging van Dat gedrukt onder nr. 22",2007-12-13
kst-31226-5,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Amendement van het lid Blok",2007-10-17
kst-31226-16,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Amendement van het lid Luijben",2007-11-29
kst-31226-31,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Gewijzigd Amendement van het lid Blok ter vervanging van Dat gedrukt onder nr. 9",2007-12-12
kst-31226-32,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Gewijzigd Amendement van de leden Omtzigt en Hamer ter vervanging van Dat gedrukt onder nr. 26",2007-12-13
kst-31226-24,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Gewijzigd Amendement van de leden Omtzigt en Hamer ter vervanging van Dat gedrukt onder nr. 18",2007-12-11
kst-31226-17,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Amendement van de leden Omtzigt en Hamer",2007-11-29
kst-31226-30,Amendement,"Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten; Motie van het lid Omtzigt",2007-12-11
kst-19637-720,Brief,Vreemdelingenbeleid; Brief minister inzake uitkomst discussie over bevoegdheden minister i.v.m. oplossing langdurig in Nederland verblijvende asielzoekers,2003-02-18
kst-19637-657,Motie,Vreemdelingenbeleid; Motie inzake voorstel specifieke regeling verblijfsvergunning voor langdurig in procedure zijnde asielzoekers en uitgeproceerden,2002-04-09
kst-19637-720,Brief,Vreemdelingenbeleid; Brief minister inzake uitkomst discussie over bevoegdheden minister i.v.m. oplossing langdurig in Nederland verblijvende asielzoekers,2003-02-18
kst-19637-657,Brief,Vreemdelingenbeleid; Motie inzake voorstel specifieke regeling verblijfsvergunning voor langdurig in procedure zijnde asielzoekers en uitgeproceerden,2002-04-09
kst-19637-721,Motie,Vreemdelingenbeleid; Motie over een specifieke regeling voor asielzoekers die per 1 maart 2003 vijf jaar of langer in Nederland verblijven,2003-02-18
kst-19637-722,Motie,Vreemdelingenbeleid; Motie over voorstel voor regeling voor het verstrekken van een verblijfsvergunning aan bepaalde asielzoekers die langer dan vijf jaar in Nederland zijn,2003-02-18
kst-19637-724,Motie,Vreemdelingenbeleid; Motie over het gebruiken van de inherente afwijkingsbevoegdheid door de minister voor schrijnende gevallen,2003-02-18
kst-24691-35,Motie,Ruimtetekort in mainport Rotterdam; Motie over een rol voor het Rijk binnen de toekomstige organisatievorm voor de Mainport Rotterdam,2002-04-08
kst-24691-36,Motie,Ruimtetekort in mainport Rotterdam; Motie over alternatieven voor Albrandswaard,2002-04-08
kst-24691-44,Motie,Ruimtetekort in mainport Rotterdam; Gewijzigde motie over schade voor de visserijsector ten gevolge van zandwinning voor de aanleg van de Tweede Maasvlakte,2002-04-08
kst-24691-39,Motie,Ruimtetekort in mainport Rotterdam; Motie,2002-04-11
kst-24691-40,Motie,Ruimtetekort in mainport Rotterdam; Motie over de realisatie van 750 ha. extra natuur in de regio Rotterdam-Rijnmond,2002-04-08
kst-24691-41,Brief,Ruimtetekort in mainport Rotterdam; Motie over de gevolgen van de aanleg van de Tweede Maasvlakte op de Noordzeekust en het Waddenzeegebied,2002-04-08
kst-24691-42,Motie,Ruimtetekort in mainport Rotterdam; Motie over samenwerking tussen de mainports Rotterdam en Antwerpen,2002-04-08
kst-24691-43,Motie,Ruimtetekort in mainport Rotterdam; Motie over de omvang van het zeereservaat,2002-04-08
kst-28000-VI-34,Motie,Vaststelling begroting van het Ministerie van Justitie (VI) voor het jaar 2002; Motie met de vraag om een notitie over de verhouding tussen de grondwettelijke vrijheden van meningsuiting en godsdienst inzake homoseksualiteit,2001-11-08
kst-32813-257,Motie,Kabinetsaanpak Klimaatbeleid; Motie; Motie van het lid Moorlag over de gevolgen van de energietransitie voor de positie van werknemers,2018-12-06
kst-21501-07-1559,Brief,Raad voor Economische en Financiële Zaken; Brief regering; Aanvulling op de geannoteerde agenda Eurogroep en Ecofinraad van 3 en 4 december 2018,2018-11-28
kst-25424-430,Brief,Geestelijke gezondheidszorg; Brief regering; Ontwikkelingen Acute ggz,2018-11-27
kst-25424-429,Brief,Geestelijke gezondheidszorg; Brief regering; Stand van zaken inzake vervolg op het Schakelteam personen met verward gedrag,2018-11-26
